matrix,family,trajectory,evaluated_law,actual_fill,actual_iterations,actual_full_census_J,eligible_stars,nu_sum,nu_sum_star_sampling_SE,nu_covered_stars,mean_rho,rho_covered_stars,estimated_J_sum,draws,normalization,matrix_sha256,rhs_sha256
as-Skitter,suitesparse,heavy_core_k2,trace_cycle,,,,1184606,376548.86764907086,13635.91786142202,1184606,0.7001378165275051,1179220,4515466.799983833,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,heavy_core_k2,heavy_core_k2,17202544,14,,1184606,,,,0.7114606054307515,1179220,4589421.527944742,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,prufer,gks,,,,1180770,733069.8304335279,13858.380050112457,1180770,1.313440961021597,1175733,8525931.847299177,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,prufer,prufer,16861679,25,7432382.331413177,1180770,607827.1472502851,10125.648861065878,1180770,1.1591611325482687,1175733,7296268.712811632,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,prufer,trace_cycle,,,,1180770,389601.66707039915,13151.655912134713,1180770,0.689724386815865,1175733,4903767.642666377,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
as-Skitter,suitesparse,prufer,heavy_core_k2,,,,1180770,,,,0.7069350347488159,1175733,4994449.658370531,7680,ideal clique,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106
chimera-i1-eps0.1-step1,CAST/Chimera,gks,gks,2575182,18,1438040.0332678447,99981,68333.86606813848,912.7936651495761,99981,1.5498458154367036,96932,963924.5457768135,5376,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,gks,prufer,,,,99981,66998.99398401023,798.5621606859315,99981,1.4854553383107032,96932,944808.2858123214,5376,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,gks,trace_cycle,,,,99981,53710.771347056565,2056.668244943425,99981,1.1265260114895548,96932,775124.5675080869,5376,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,gks,heavy_core_k2,,,,99981,,,,1.174642245140585,96932,801665.750854258,5376,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
