matrix,threads,seed,arm,repetitions,setup_ms,setup_ratio,find_partition_ms,find_partition_ratio,eliminate_ms,eliminate_ratio,sptrsv_setup_ms,sptrsv_setup_ratio,pcg_ms,pcg_ratio,total_ms,total_ratio
coPapersDBLP,36,44,t1024,8,745.113,0.9904887619837611,137.1395,1.0033802198606208,245.99349999999998,0.9757465054659114,76.687,0.9939278470102586,15.0785,1.0047309678494085,760.982,0.9914764880316446
coPapersDBLP,72,42,base,4,611.7555,1.0,91.87,1.0,261.64750000000004,1.0,71.3425,1.0,13.6785,1.0,625.4335,1.0
coPapersDBLP,72,42,t128,4,640.3520000000001,1.0467449822682429,93.108,1.0134755632959618,275.52049999999997,1.0530217181513293,71.7865,1.0062234993166765,13.008,0.9509814672661475,654.8935,1.0471033291309149
coPapersDBLP,72,42,t256,4,630.813,1.0311521514722795,96.029,1.04527049091107,239.0395,0.9135936708739811,73.38300000000001,1.028601464765042,13.085999999999999,0.9566838469130386,643.8985,1.0295235224848045
coPapersDBLP,72,42,t512,4,623.6185,1.019391734115999,93.434,1.017024055730924,252.19650000000001,0.9638788828481066,72.81,1.0205697865928445,13.591000000000001,0.9936030997550902,637.2090000000001,1.0188277410787878
coPapersDBLP,72,42,t1024,4,642.9970000000001,1.0510686050227585,97.24600000000001,1.0585174703385218,310.9225,1.1883258964828634,71.7975,1.0063776851105581,13.462,0.9841722411083087,657.6335,1.051484290496112
coPapersDBLP,72,43,base,4,590.72,1.0,95.70750000000001,1.0,249.71249999999998,1.0,71.946,1.0,13.025,1.0,603.5615,1.0
coPapersDBLP,72,43,t128,4,646.441,1.0943272616468038,98.94999999999999,1.0338792675600132,263.28,1.054332482354708,71.596,0.9951352403191284,13.2,1.0134357005758157,659.586,1.0928231837186433
coPapersDBLP,72,43,t256,4,626.4390000000001,1.0604668878656556,95.87950000000001,1.0017971423347178,240.495,0.9630875506832859,72.0955,1.002077947349401,13.461500000000001,1.0335124760076775,640.8225,1.061735216709482
coPapersDBLP,72,43,t512,4,640.2015,1.0837647277898157,97.05199999999999,1.0140480108664418,234.46300000000002,0.938931771537268,72.381,1.006046201317655,13.7965,1.0592322456813819,655.3565,1.0858156128248737
coPapersDBLP,72,43,t1024,4,622.412,1.0536497833152763,96.2685,1.0058616095917248,244.823,0.9804194824047656,71.5875,0.99501709615545,13.1055,1.0061804222648751,635.7049999999999,1.053256379010258
coPapersDBLP,72,44,base,4,663.361,1.0,100.065,1.0,272.936,1.0,73.4325,1.0,13.172,1.0,676.5245,1.0
coPapersDBLP,72,44,t128,4,634.2615000000001,0.9561332366539487,100.41999999999999,1.0035476939989005,301.3675,1.1041691092417272,72.0085,0.9806080413985632,12.9115,0.9802232007288186,648.203,0.958136771099938
coPapersDBLP,72,44,t256,4,643.4200000000001,0.9699394447367272,98.1675,0.9810373257382702,250.1175,0.916396151478735,73.041,0.9946685731794505,13.254000000000001,1.0062253264500456,658.16,0.9728546416279085
coPapersDBLP,72,44,t512,4,620.0665,0.9347346316711413,94.077,0.9401588967171338,247.81400000000002,0.9079564440015243,72.423,0.9862526810336022,13.4285,1.0194731248102034,633.4955,0.9363969819274838
coPapersDBLP,72,44,t1024,4,630.2145,0.9500324860822389,97.26050000000001,0.9719732174086845,263.947,0.9670655391740189,73.533,1.0013686038198344,13.3115,1.010590646826602,643.4745,0.9511473716029502
com-Amazon,36,42,base,8,78.416,1.0,25.4795,1.0,25.2765,1.0,8.9655,1.0,2.2235,1.0,80.6535,1.0
com-Amazon,36,42,t128,8,78.555,1.0017725974290963,25.554000000000002,1.0029239192291843,25.945999999999998,1.0264870531916999,8.9465,0.9978807651553175,2.1790000000000003,0.9799865077580392,80.7415,1.0010910871815855
com-Amazon,36,42,t256,8,78.866,1.005738624770455,25.7655,1.0112247100610294,25.21,0.9973690977785691,8.976500000000001,1.0012269254363952,2.248,1.0110186642680459,81.06450000000001,1.005095873086723
com-Amazon,36,42,t512,8,79.011,1.0075877371964905,25.7495,1.0105967542534193,25.369999999999997,1.0036990880857712,8.828,0.9846634320450615,2.162,0.9723409039802113,81.169,1.0063915391148555
com-Amazon,36,42,t1024,8,78.1325,0.9963846663946133,25.3565,0.9951725897289978,25.387,1.0043716495559116,8.865,0.9887903630583905,2.307,1.037553406791095,80.379,0.996596551916532
com-Amazon,36,43,base,8,78.779,1.0,25.838,1.0,25.23,1.0,8.916,1.0,2.127,1.0,80.92949999999999,1.0
com-Amazon,36,43,t128,8,89.3335,1.1339760596097945,26.159,1.0124235621952162,25.529,1.011850971066191,9.353000000000002,1.0490130103185287,2.2060000000000004,1.0371415138692999,91.604,1.1318987513823762
